FIPS,NAME,QNAME,STATE,Geo_SUMLEV,Geo_LOGRECNO,REGION,DIVISION,STATEFIPS,Geo_CBSA,CBSA_Sizecode,CSA,Geo_AREALAND,Geo_AREAWATR,HousUnit,Geo_INTPTLAT,Geo_INTPTLON,Geo_LSADC,Geo_PARTFLAG,Geo_STATENS,Geo_CSASC,Geo_MEMI,TotPop,White,Black,AIAN,Asian,NHPI,Latinx,NatB,FB
3724660,"Greensboro-High Point, NC Metro Area","Greensboro-High Point, North Carolina",NC,320,360052,3,5,37,24660,20,268,5163845659,67109751,322754,36.0479316,-79.8240862,M1,W,1027616,21,1,723801,449177,182490,3052,20888,257,54683,664974,59434
3724780,"Greenville, NC Metro Area","Greenville, North Carolina",NC,320,360058,3,5,37,24780,18,999,2377355374,8604171,83203,35.5707184,-77.4382455,M1,W,1027616,0,1,189510,106076,64715,572,2628,73,12256,179491,9846
3725780,"Henderson, NC Micro Area","Henderson, North Carolina",NC,320,360062,3,5,37,25780,16,999,656606884,42223392,20082,36.3388106,-78.4017851,M2,W,1027616,0,2,45422,19101,22477,79,199,7,3051,43386,1797
3725860,"Hickory-Lenoir-Morganton, NC Metro Area","Hickory-Lenoir-Morganton, North Carolina",NC,320,360065,3,5,37,25860,19,999,4240796217,75300737,162613,35.7656566,-81.4067456,M1,W,1027616,0,1,365497,302096,24860,792,9252,223,23063,345929,18600
3727340,"Jacksonville, NC Metro Area","Jacksonville, North Carolina",NC,320,360073,3,5,37,27340,18,999,1975496912,370806698,68226,34.7022986,-77.3744372,M1,W,1027616,0,1,177772,122558,26577,1013,3163,438,17896,168491,7970
3728620,"Kill Devil Hills, NC Micro Area","Kill Devil Hills, North Carolina",NC,320,360076,3,5,37,28620,16,999,993052150,3053969840,33492,35.8315315,-75.6690054,M2,W,1027616,0,2,33920,30061,812,101,211,10,2210,32147,1872
3728820,"Kinston, NC Micro Area","Kinston, North Carolina",NC,320,360079,3,5,37,28820,17,999,1037527054,5768474,27437,35.2633054,-77.6240245,M2,W,1027616,0,2,59495,30492,23968,163,256,26,3917,57292,2080
3729900,"Laurinburg, NC Micro Area","Laurinburg, North Carolina",NC,320,360082,3,5,37,29900,16,354,825803818,3831577,15193,34.8065496,-79.4790136,M2,W,1027616,18,2,36157,16605,13884,3860,276,7,754,35543,723
3730740,"Lincolnton, NC Micro Area","Lincolnton, North Carolina",NC,320,360085,3,5,37,30740,17,172,771655597,23577093,33641,35.4823806,-81.1916593,M2,W,1027616,21,2,78265,67139,4269,222,415,13,5238,74093,3959
3731300,"Lumberton, NC Micro Area","Lumberton, North Carolina",NC,320,360088,3,5,37,31300,18,354,2458470383,4574244,52751,34.6703832,-79.1045969,M2,W,1027616,18,2,134168,36160,32347,50866,971,60,10932,126429,7491
